"","region","year","age20","age25"
"1","WORLD","1950","112691.088","96661.642"
"2","More developed regions","1950","34593.828","29357.394"
"3","Less developed regions","1950","78097.26","67304.248"
"4","Least developed countries","1950","8754.62","7559.003"
"5","Less developed regions, excluding least developed countries","1950","69342.64","59745.245"
"6","Less developed regions, excluding China","1950","53379.734","45935.857"
"7","Sub-Saharan Africa","1950","8177.031","7009.845"
"8","AFRICA","1950","10136.337","8695.164"
"9","Eastern Africa","1950","2865.011","2421.491"
"10","Burundi","1950","105.1","91.1"
"11","Comoros","1950","7.025","6.273"
"12","Djibouti","1950","2.727","2.265"
"13","Eritrea","1950","49.7","41"
"14","Ethiopia","1950","804.816","682.934"
"15","Kenya","1950","271.6","230.666"
"16","Madagascar","1950","192.91","174.795"
"17","Malawi","1950","118.8","98.9"
"18","Mauritius","1950","21.543","17.956"
"19","Mayotte","1950","0.488","0.453"
"20","Mozambique","1950","280.549","242.401"
"21","Réunion","1950","10.726","10.233"
"22","Rwanda","1950","105.488","72.655"
"23","Somalia","1950","99.065","87.146"
"24","Uganda","1950","239.143","200.509"
"25","United Republic of Tanzania","1950","330.603","275.752"
"26","Zambia","1950","100.95","84.708"
"27","Zimbabwe","1950","122.339","100.381"
"28","Middle Africa","1950","1098.699","942.091"
"29","Angola","1950","181.191","157.176"
"30","Cameroon","1950","193.524","169.005"
"31","Central African Republic","1950","56.722","50.021"
"32","Chad","1950","102.326","91.622"
"33","Congo","1950","35.054","30.48"
"34","Democratic Republic of the Congo","1950","497.02","413.111"
"35","Equatorial Guinea","1950","9.387","8.473"
"36","Gabon","1950","18.744","17.72"
"37","Sao Tome and Principe","1950","4.731","4.483"
"38","Northern Africa","1950","2356.806","2021.419"
"39","Algeria","1950","385.17","333.45"
"40","Egypt","1950","981.62","847.06"
"41","Libyan Arab Jamahiriya","1950","42.86","35.72"
"42","Morocco","1950","393.95","330.47"
"43","Sudan","1950","397.5","336.1"
"44","Tunisia","1950","155.1","138.1"
"45","Western Sahara","1950","0.606","0.519"
"46","Southern Africa","1950","701.664","603.771"
"47","Botswana","1950","18.025","16.586"
"48","Lesotho","1950","29.713","26.248"
"49","Namibia","1950","22.252","19.183"
"50","South Africa","1950","619.885","531.634"
"51","Swaziland","1950","11.789","10.12"
"52","Western Africa","1950","3114.157","2706.392"
"53","Benin","1950","79.829","72.317"
"54","Burkina Faso","1950","203.485","180.508"
"55","Cape Verde","1950","7.861","4.7"
"56","Côte d'Ivoire","1950","122.137","104.136"
"57","Gambia","1950","11.82","10.255"
"58","Ghana","1950","222.642","187.264"
"59","Guinea","1950","133.497","119.929"
"60","Guinea-Bissau","1950","22.545","20.398"
"61","Liberia","1950","43.415","38.925"
"62","Mali","1950","212.882","196.5"
"63","Mauritania","1950","29.637","25.296"
"64","Niger","1950","102.813","86.134"
"65","Nigeria","1950","1672.65","1444.8"
"66","Senegal","1950","107.489","91.866"
"67","Sierra Leone","1950","82.778","72.93"
"68","Togo","1950","58.524","50.273"
"69","ASIA","1950","64128.893","54896.251"
"70","Eastern Asia","1950","29576.971","25179.558"
"71","China","1950","24211.616","20907.056"
"72","China, Hong Kong SAR","1950","126.6","113.5"
"73","China, Macao SAR","1950","10.703","10.023"
"74","Dem. People's Republic of Korea","1950","390.879","321.75"
"75","Japan","1950","3781.218","2755.774"
"76","Mongolia","1950","32.627","29.955"
"77","Republic of Korea","1950","654.721","703.688"
"78","Other non-specified areas","1950","368.607","337.812"
"79","South-Central Asia","1950","24368.555","21276.121"
"80","Central Asia","1950","924.789","485.489"
"81","Kazakhstan","1950","366.701","178.39"
"82","Kyrgyzstan","1950","92.411","52.025"
"83","Tajikistan","1950","82.964","46.397"
"84","Turkmenistan","1950","61.249","35.071"
