,Date,Aval,Strong,Opp-Status,Opp,W/L,Opp-W
0,4.03,True,False,Weak,OAK,L,75
1,4.04,True,False,Weak,OAK,W,75
2,4.05,True,False,Weak,OAK,W,75
3,4.06,True,False,Weak,OAK,L,75
19,4.07,True,False,Weak,SEA,W,78
20,4.08,True,False,Weak,SEA,W,78
21,4.09,True,False,Weak,SEA,W-wo,78
38,4.11,True,False,Weak,TEX,W-wo,78
39,4.12,True,False,Weak,TEX,L,78
40,4.13,True,False,Weak,TEX,L,78
57,4.14,True,False,Weak,KCR,L,80
58,4.15,True,False,Weak,KCR,L,80
59,4.16,True,False,Weak,KCR,L-wo,80
64,4.17,True,False,Weak,HOU,L,101
65,4.18,True,False,Weak,HOU,W,101
66,4.19,True,False,Weak,HOU,L,101
67,4.2,True,False,Weak,HOU,L,101
83,4.21,True,False,Weak,TOR,L,76
84,4.22,True,False,Weak,TOR,W,76
85,4.23,True,False,Weak,TOR,L,76
86,4.24,True,False,Weak,TOR,W,76
4,4.25,True,False,Weak,OAK,W-wo,75
5,4.26,True,False,Weak,OAK,W,75
6,4.27,True,False,Weak,OAK,W,75
41,4.28,True,False,Weak,TEX,W,78
42,4.29,True,False,Weak,TEX,L,78
43,4.3,True,False,Weak,TEX,W,78
22,5.02,True,False,Weak,SEA,W,78
23,5.03,True,False,Weak,SEA,L,78
24,5.04,True,False,Weak,SEA,L,78
68,5.05,True,False,Weak,HOU,L,101
69,5.06,False,False,Weak,HOU,W-wo,101
70,5.07,False,False,Weak,HOU,L,101
7,5.08,False,False,Weak,OAK,L-wo,75
8,5.09,False,False,Weak,OAK,W,75
9,5.1,False,False,Weak,OAK,L,75
90,5.11,True,False,Weak,DET,L,64
91,5.12,True,False,Weak,DET,W,64
92,5.13,True,False,Weak,DET,L,64
93,5.14,True,False,Weak,DET,W,64
97,5.15,True,False,Weak,CHW,W,67
98,5.16,True,False,Weak,CHW,W-wo,67
99,5.17,True,False,Weak,CHW,W,67
104,5.19,True,False,Weak,NYM,L,70
105,5.2,True,False,Weak,NYM,L,70
106,5.21,True,False,Weak,NYM,W,70
107,5.22,True,False,Weak,TBR,W,80
108,5.23,True,False,Weak,TBR,W,80
109,5.24,True,False,Weak,TBR,L,80
110,5.25,True,False,Weak,TBR,L,80
114,5.26,True,False,Weak,MIA,L,77
115,5.27,True,False,Weak,MIA,W,77
116,5.28,False,False,Weak,MIA,L,77
117,5.29,False,False,Weak,ATL,L,72
118,5.3,False,False,Weak,ATL,W,72
119,5.31,False,False,Weak,ATL,W,72
120,6.01,False,False,Weak,MIN,L,85
121,6.02,False,False,Weak,MIN,L,85
122,6.03,False,False,Weak,MIN,W,85
123,6.04,False,False,Weak,MIN,L,85
94,6.06,False,False,Weak,DET,W,64
95,6.07,False,False,Weak,DET,L,64
96,6.08,False,False,Weak,DET,W,64
71,6.09,False,False,Weak,HOU,W,101
72,6.1,False,False,Weak,HOU,L,101
73,6.11,False,False,Weak,HOU,W,101
127,6.12,False,False,Weak,NYY,L,91
128,6.13,False,False,Weak,NYY,W-wo,91
129,6.14,False,False,Weak,NYY,W,91
60,6.15,False,False,Weak,KCR,L,80
61,6.16,False,False,Weak,KCR,L,80
62,6.17,False,False,Weak,KCR,W,80
63,6.18,False,False,Weak,KCR,L,80
130,6.2,False,False,Weak,NYY,W,91
131,6.21,False,False,Weak,NYY,L,91
132,6.22,False,False,Weak,NYY,W,91
133,6.23,False,False,Weak,BOS,L,93
134,6.24,False,False,Weak,BOS,W,93
135,6.25,False,False,Weak,BOS,W,93
139,6.26,False,False,Weak,LAD,W,104
140,6.27,False,False,Weak,LAD,L,104
141,6.28,False,False,Weak,LAD,W-wo,104
142,6.29,False,False,Weak,LAD,L,104
25,6.3,False,False,Weak,SEA,L,78
26,7.01,False,False,Weak,SEA,W,78
27,7.02,False,False,Weak,SEA,L,78
124,7.03,False,False,Weak,MIN,L,85
