"Team","W","pWAR","hWAR","fWAR","year"
"Athletics",48,14.3,-10.3,4,1920
"Braves",62,6.7,13.4,20.1,1920
"Browns",76,10.9,27.4,38.3,1920
"Cardinals",75,9.5,26.6,36.1,1920
"Cubs",75,14.1,15.2,29.3,1920
"Giants",86,12.2,27,39.2,1920
"Indians",98,20.3,31.8,52.1,1920
"Phillies",62,15.9,6.4,22.3,1920
"Pirates",79,19.7,12.2,31.9,1920
"Red Sox",72,12.9,16.5,29.4,1920
"Reds",82,10.9,23,33.9,1920
"Robins",93,20.3,19.4,39.7,1920
"Senators",68,7.4,18.2,25.6,1920
"Tigers",61,10,8.3,18.3,1920
"White Sox",96,16.5,25.5,42,1920
"Yankees",95,15.7,28.6,44.3,1920
"Athletics",53,11.1,3.3,14.4,1921
"Braves",79,9.1,20.5,29.6,1921
"Browns",81,12.8,16.8,29.6,1921
"Cardinals",87,10.2,30.4,40.6,1921
"Cubs",64,10.7,13.4,24.1,1921
"Giants",94,10.4,34,44.4,1921
"Indians",94,19.8,28.6,48.4,1921
"Phillies",51,15.4,1.5,16.9,1921
"Pirates",90,20.6,17.9,38.5,1921
"Red Sox",75,13.9,10,23.9,1921
"Reds",70,15.8,13.4,29.2,1921
"Robins",77,15.7,10.6,26.3,1921
"Senators",80,13.9,14.3,28.2,1921
"Tigers",71,10.7,26.2,36.9,1921
"White Sox",62,11.2,10.8,22,1921
"Yankees",98,15.6,36.4,52,1921
"Athletics",65,7,9.3,16.3,1922
"Braves",53,8.6,-0.5,8.1,1922
"Browns",93,20.3,33,53.3,1922
"Cardinals",85,11.7,22.6,34.3,1922
"Cubs",80,10.8,18.4,29.2,1922
"Giants",93,11.5,36.2,47.7,1922
"Indians",78,16.2,18.8,35,1922
"Phillies",57,16.5,9.8,26.3,1922
"Pirates",85,20.4,21.9,42.3,1922
"Red Sox",61,12.6,2,14.6,1922
"Reds",86,15.6,25.6,41.2,1922
"Robins",76,12.4,11.6,24,1922
"Senators",69,11,13.8,24.8,1922
"Tigers",79,12.8,26.6,39.4,1922
"White Sox",77,14.5,16.1,30.6,1922
"Yankees",94,15.8,26,41.8,1922
"Athletics",69,11.4,7.2,18.6,1923
"Braves",54,10.9,6.1,17,1923
"Browns",74,16.4,13.2,29.6,1923
"Cardinals",79,10.5,20,30.5,1923
"Cubs",83,11.1,23.9,35,1923
"Giants",95,9.9,32.3,42.2,1923
"Indians",82,17.7,29.1,46.8,1923
"Phillies",50,13.2,0.7,13.9,1923
"Pirates",87,17.4,24.3,41.7,1923
"Red Sox",61,12.7,-2.1,10.6,1923
"Reds",91,20.7,21.6,42.3,1923
"Robins",76,16,15.7,31.7,1923
"Senators",75,8.3,18.7,27,1923
"Tigers",83,13.3,28.9,42.2,1923
"White Sox",69,13.7,17.6,31.3,1923
"Yankees",98,13.7,31.8,45.5,1923
"Athletics",71,13.5,7,20.5,1924
"Braves",53,10.7,-1,9.7,1924
"Browns",74,13,15,28,1924
"Cardinals",65,8.2,19.8,28,1924
"Cubs",81,8.9,16.4,25.3,1924
"Giants",93,9.4,36.3,45.7,1924
"Indians",67,13.7,17.9,31.6,1924
"Phillies",55,14.5,2.3,16.8,1924
"Pirates",90,20,25.8,45.8,1924
