,Date,Aval,Strong,Opp-Status,Opp,W/L,Opp-W
0,4.06,True,False,Average,MIN,W,83
1,4.08,True,False,Average,MIN,W,83
2,4.09,True,False,Average,MIN,W,83
19,4.1,True,False,Weak,CLE,W,81
20,4.11,True,False,Weak,CLE,W,81
21,4.12,True,False,Weak,CLE,W,81
37,4.13,True,False,Strong,PIT,L,98
38,4.14,True,False,Strong,PIT,W,98
39,4.15,True,False,Strong,PIT,W,98
43,4.17,True,False,Weak,CHW,W-wo,76
44,4.18,True,False,Weak,CHW,L,76
45,4.19,True,False,Weak,CHW,W,76
62,4.2,True,False,Average,NYY,W,87
63,4.21,True,False,Average,NYY,L,87
64,4.22,True,False,Average,NYY,L,87
65,4.23,True,False,Average,NYY,L,87
22,4.24,True,False,Weak,CLE,L,81
23,4.25,True,False,Weak,CLE,W,81
24,4.26,True,False,Weak,CLE,W,81
3,4.27,True,False,Average,MIN,W,83
4,4.28,True,False,Average,MIN,L,83
5,4.29,True,False,Average,MIN,W,83
69,4.3,True,False,Strong,KCR,L,95
70,5.01,True,False,Strong,KCR,L,95
71,5.02,True,False,Strong,KCR,W,95
72,5.03,True,False,Strong,KCR,W,95
46,5.05,True,False,Weak,CHW,L,76
47,5.06,True,False,Weak,CHW,L,76
48,5.07,True,False,Weak,CHW,W,76
73,5.08,True,False,Strong,KCR,W-wo,95
74,5.09,True,False,Strong,KCR,L,95
75,5.1,True,False,Strong,KCR,L,95
6,5.12,True,False,Average,MIN,W-wo,83
7,5.13,True,False,Average,MIN,L,83
8,5.14,True,False,Average,MIN,W,83
88,5.15,True,False,Strong,STL,W,100
89,5.16,True,False,Strong,STL,W,100
90,5.17,True,False,Strong,STL,L,100
91,5.18,True,False,Weak,MIL,L,68
92,5.19,True,False,Weak,MIL,L,68
93,5.2,True,False,Weak,MIL,W,68
94,5.21,True,False,Average,HOU,W-wo,86
95,5.22,True,False,Average,HOU,W,86
96,5.23,True,False,Average,HOU,L,86
97,5.24,True,False,Average,HOU,L,86
101,5.25,True,False,Weak,OAK,L,68
102,5.26,True,False,Weak,OAK,W,68
103,5.27,True,False,Weak,OAK,W,68
107,5.28,True,False,Average,LAA,L,85
108,5.29,True,False,Average,LAA,L,85
109,5.3,True,False,Average,LAA,L,85
110,5.31,True,False,Average,LAA,L,85
104,6.02,True,False,Weak,OAK,L,68
105,6.03,True,False,Weak,OAK,L,68
106,6.04,True,False,Weak,OAK,L,68
49,6.05,True,False,Weak,CHW,L-wo,76
50,6.06,True,False,Weak,CHW,W,76
51,6.07,True,False,Weak,CHW,W,76
114,6.09,True,False,Strong,CHC,W,97
115,6.1,True,False,Strong,CHC,L,97
25,6.12,True,False,Weak,CLE,W,81
26,6.13,True,False,Weak,CLE,L,81
27,6.14,True,False,Weak,CLE,W,81
118,6.15,True,False,Weak,CIN,W,64
119,6.16,True,False,Weak,CIN,L,64
120,6.17,True,True,Weak,CIN,L-wo,64
66,6.19,True,True,Average,NYY,L,87
67,6.2,True,True,Average,NYY,L,87
68,6.21,True,True,Average,NYY,W,87
28,6.22,True,True,Weak,CLE,W,81
29,6.23,True,True,Weak,CLE,W,81
30,6.24,True,True,Weak,CLE,L,81
52,6.25,True,True,Weak,CHW,L,76
53,6.26,True,True,Weak,CHW,W,76
54,6.28,True,True,Weak,CHW,W-wo,76
40,6.3,True,True,Strong,PIT,L,98
41,7.01,True,True,Strong,PIT,L,98
42,7.02,True,True,Strong,PIT,L,98
122,7.03,True,True,Strong,TOR,W,93
123,7.04,False,True,Strong,TOR,W,93
124,7.05,False,True,Strong,TOR,L,93
128,7.06,False,True,Weak,SEA,W,76
129,7.07,False,True,Weak,SEA,L-wo,76
130,7.08,False,True,Weak,SEA,W,76
9,7.09,False,True,Average,MIN,W,83
10,7.1,False,True,Average,MIN,L-wo,83
11,7.11,False,True,Average,MIN,L,83
12,7.12,False,True,Average,MIN,L,83
135,7.17,False,True,Weak,BAL,W,81
136,7.18,False,True,Weak,BAL,L,81
137,7.19,False,True,Weak,BAL,L,81
131,7.2,False,True,Weak,SEA,W,76
132,7.21,False,True,Weak,SEA,L,76
133,7.22,False,True,Weak,SEA,W,76
134,7.23,False,True,Weak,SEA,L,76
142,7.24,False,True,Weak,BOS,L-wo,78
143,7.25,False,True,Weak,BOS,W,78
144,7.26,False,True,Weak,BOS,L,78
148,7.27,False,True,Weak,TBR,L,80
149,7.28,False,True,Weak,TBR,L,80
150,7.29,False,True,Weak,TBR,W,80
138,7.3,False,False,Weak,BAL,W,81
139,7.31,False,False,Weak,BAL,L,81
140,8.01,False,False,Weak,BAL,L,81
141,8.02,False,False,Weak,BAL,W,81
76,8.04,False,False,Strong,KCR,L,95
77,8.05,False,False,Strong,KCR,W,95
78,8.06,False,False,Strong,KCR,W-wo,95
145,8.07,False,False,Weak,BOS,L,78
146,8.08,False,False,Weak,BOS,W,78
147,8.09,False,False,Weak,BOS,L,78
79,8.1,False,False,Strong,KCR,L,95
80,8.11,False,False,Strong,KCR,L,95
81,8.12,False,False,Strong,KCR,W,95
98,8.14,True,False,Average,HOU,L,86
99,8.15,True,False,Average,HOU,W,86
100,8.16,True,False,Average,HOU,L-wo,86
116,8.18,True,False,Strong,CHC,W,97
117,8.19,True,False,Strong,CHC,W,97
154,8.2,True,False,Average,TEX,W,88
155,8.21,True,False,Average,TEX,L,88
156,8.22,True,False,Average,TEX,L,88
157,8.23,True,False,Average,TEX,L,88
121,8.24,True,False,Weak,CIN,L,64
111,8.25,True,False,Average,LAA,L,85
112,8.26,True,False,Average,LAA,W,85
113,8.27,True,False,Average,LAA,L,85
125,8.28,True,False,Strong,TOR,L,93
126,8.29,True,False,Strong,TOR,L,93
127,8.3,True,False,Strong,TOR,L,93
82,9.01,True,False,Strong,KCR,W,95
83,9.02,True,False,Strong,KCR,L,95
84,9.03,True,False,Strong,KCR,L,95
31,9.04,True,False,Weak,CLE,L,81
32,9.05,True,False,Weak,CLE,W,81
33,9.06,True,False,Weak,CLE,L,81
151,9.07,True,False,Weak,TBR,W,80
152,9.08,True,False,Weak,TBR,W-wo,80
153,9.09,True,False,Weak,TBR,L,80
34,9.1,True,False,Weak,CLE,L,81
36,9.13,True,False,Weak,CLE,W,81
35,9.13,True,False,Weak,CLE,L,81
13,9.14,True,False,Average,MIN,L,83
14,9.15,True,False,Average,MIN,W,83
15,9.16,True,False,Average,MIN,W,83
85,9.18,True,False,Strong,KCR,W-wo,95
86,9.19,True,False,Strong,KCR,W-wo,95
87,9.2,True,False,Strong,KCR,L,95
56,9.21,True,False,Weak,CHW,L,76
55,9.21,True,False,Weak,CHW,L,76
57,9.22,True,False,Weak,CHW,W-wo,76
58,9.23,True,False,Weak,CHW,W,76
16,9.25,True,False,Average,MIN,W,83
17,9.26,True,False,Average,MIN,L,83
18,9.27,True,False,Average,MIN,L,83
158,9.28,True,False,Average,TEX,W,88
159,9.29,True,False,Average,TEX,L,88
160,9.3,True,False,Average,TEX,L,88
59,10.02,True,False,Weak,CHW,L,76
60,10.03,True,False,Weak,CHW,L-wo,76
61,10.04,True,False,Weak,CHW,W,76
