,Date,Aval,Strong,Opp-Status,Opp,W/L,Opp-W
0,3.31,True,False,Weak,CIN,W,76
1,4.02,True,False,Weak,CIN,L-wo,76
2,4.03,True,False,Weak,CIN,W,76
19,4.04,True,False,Strong,PIT,L,88
20,4.05,True,False,Strong,PIT,W,88
21,4.06,True,False,Strong,PIT,L,88
3,4.07,True,False,Weak,CIN,W,76
4,4.08,True,False,Weak,CIN,W,76
5,4.09,True,False,Weak,CIN,L,76
38,4.11,True,False,Weak,CHC,L,73
39,4.12,True,False,Weak,CHC,W,73
40,4.13,True,False,Weak,CHC,W,73
57,4.14,True,False,Average,MIL,W,82
58,4.15,True,False,Average,MIL,W,82
59,4.16,True,False,Average,MIL,L,82
76,4.17,True,False,Strong,WSN,W,96
77,4.18,True,False,Strong,WSN,L,96
78,4.19,True,False,Strong,WSN,W,96
79,4.2,True,False,Strong,WSN,L-wo,96
83,4.21,True,False,Average,NYM,L,79
84,4.22,True,False,Average,NYM,W,79
85,4.23,True,False,Average,NYM,L,79
86,4.24,True,False,Average,NYM,L,79
22,4.25,True,False,Strong,PIT,W,88
23,4.26,True,False,Strong,PIT,L,88
24,4.27,True,False,Strong,PIT,W,88
60,4.28,True,False,Average,MIL,L,82
61,4.29,True,False,Average,MIL,L,82
62,4.3,True,False,Average,MIL,W,82
41,5.02,True,False,Weak,CHC,L,73
42,5.03,True,False,Weak,CHC,L,73
43,5.04,True,False,Weak,CHC,W,73
90,5.05,True,False,Average,ATL,W,79
91,5.06,True,False,Average,ATL,L,79
92,5.07,True,False,Average,ATL,W,79
25,5.09,True,False,Strong,PIT,L,88
26,5.1,True,False,Strong,PIT,L,88
27,5.11,True,False,Strong,PIT,W,88
44,5.12,True,False,Weak,CHC,L,73
45,5.13,True,False,Weak,CHC,W-wo,73
46,5.15,True,False,Weak,CHC,W,73
93,5.16,True,False,Average,ATL,W,79
94,5.17,True,False,Average,ATL,W,79
95,5.18,True,False,Average,ATL,L,79
96,5.2,True,False,Weak,ARI,W,64
97,5.21,True,False,Weak,ARI,W-wo,64
98,5.22,True,False,Weak,ARI,W,64
6,5.23,True,False,Weak,CIN,L,76
7,5.24,True,False,Weak,CIN,W,76
8,5.25,True,False,Weak,CIN,W,76
102,5.26,True,False,Average,NYY,L,84
103,5.27,True,False,Average,NYY,W,84
104,5.28,True,False,Average,NYY,L,84
105,5.29,True,False,Strong,SFG,L,88
106,5.3,True,False,Strong,SFG,L,88
107,5.31,True,False,Strong,SFG,W,88
108,6.01,True,False,Strong,SFG,L,88
112,6.02,True,False,Strong,KCR,L,89
113,6.03,True,False,Strong,KCR,L,89
114,6.04,True,False,Strong,KCR,W,89
115,6.05,True,False,Strong,KCR,L,89
116,6.06,True,False,Average,TOR,L,83
117,6.07,True,False,Average,TOR,W,83
118,6.08,True,False,Average,TOR,W,83
119,6.1,True,False,Weak,TBR,W,77
120,6.11,True,False,Weak,TBR,L,77
80,6.13,True,False,Strong,WSN,W,96
81,6.14,True,False,Strong,WSN,W,96
82,6.15,True,False,Strong,WSN,W,96
87,6.16,True,False,Average,NYM,W,79
88,6.17,True,False,Average,NYM,W,79
89,6.18,True,False,Average,NYM,L,79
123,6.19,True,False,Weak,PHI,L,73
124,6.2,True,False,Weak,PHI,L,73
125,6.21,True,False,Weak,PHI,W,73
126,6.22,True,False,Weak,PHI,W,73
130,6.23,True,False,Weak,COL,W,66
131,6.24,True,False,Weak,COL,L,66
132,6.25,True,False,Weak,COL,W,66
136,6.26,True,False,Strong,LAD,L,94
137,6.27,True,False,Strong,LAD,W,94
138,6.28,True,False,Strong,LAD,L,94
139,6.29,True,False,Strong,LAD,L,94
109,7.01,True,False,Strong,SFG,L,88
110,7.02,True,False,Strong,SFG,W,88
111,7.03,True,False,Strong,SFG,W,88
143,7.04,True,False,Weak,MIA,W,77
144,7.05,True,False,Weak,MIA,L,77
145,7.06,True,False,Weak,MIA,L,77
28,7.07,True,False,Strong,PIT,W-wo,88
29,7.08,True,False,Strong,PIT,W-wo,88
30,7.09,True,False,Strong,PIT,W,88
31,7.1,False,False,Strong,PIT,L,88
63,7.11,False,False,Average,MIL,W,82
64,7.12,False,False,Average,MIL,W,82
65,7.13,False,False,Average,MIL,L,82
140,7.18,False,False,Strong,LAD,W,94
141,7.19,False,False,Strong,LAD,W,94
142,7.2,False,False,Strong,LAD,L,94
121,7.22,False,False,Weak,TBR,L,77
122,7.23,False,False,Weak,TBR,L,77
47,7.25,False,False,Weak,CHC,L,73
48,7.26,False,False,Weak,CHC,W,73
49,7.27,False,False,Weak,CHC,W,73
149,7.29,False,False,Weak,SDP,L,77
150,7.3,False,False,Weak,SDP,L,77
151,7.31,False,False,Weak,SDP,W,77
66,8.01,False,False,Average,MIL,L,82
67,8.02,False,False,Average,MIL,W,82
68,8.03,False,False,Average,MIL,W,82
156,8.05,False,False,Weak,BOS,W,71
157,8.06,False,False,Weak,BOS,L,71
158,8.07,False,False,Weak,BOS,W,71
159,8.08,False,False,Strong,BAL,L,96
160,8.09,False,False,Strong,BAL,L,96
161,8.1,False,False,Strong,BAL,W,96
146,8.11,False,False,Weak,MIA,L,77
147,8.12,False,False,Weak,MIA,L,77
148,8.13,False,False,Weak,MIA,W,77
152,8.14,False,False,Weak,SDP,W,77
153,8.15,False,False,Weak,SDP,W,77
154,8.16,False,False,Weak,SDP,L,77
155,8.17,False,False,Weak,SDP,W,77
9,8.18,False,False,Weak,CIN,W-wo,76
10,8.19,False,False,Weak,CIN,W-wo,76
11,8.2,False,False,Weak,CIN,W,76
127,8.22,False,False,Weak,PHI,L,73
128,8.23,False,False,Weak,PHI,W,73
129,8.24,False,False,Weak,PHI,L,73
32,8.25,False,False,Strong,PIT,W,88
33,8.26,False,False,Strong,PIT,L,88
34,8.27,False,False,Strong,PIT,L,88
50,8.29,True,False,Weak,CHC,L,73
51,8.3,True,False,Weak,CHC,L,73
52,8.3,True,False,Weak,CHC,W,73
53,8.31,True,False,Weak,CHC,W,73
35,9.01,True,False,Strong,PIT,W,88
36,9.02,True,False,Strong,PIT,W,88
37,9.03,True,False,Strong,PIT,W-wo,88
69,9.04,True,False,Average,MIL,W,82
70,9.05,True,False,Average,MIL,L,82
71,9.06,True,False,Average,MIL,W,82
72,9.07,True,False,Average,MIL,W,82
12,9.08,True,False,Weak,CIN,W,76
13,9.09,True,False,Weak,CIN,L,76
14,9.1,True,False,Weak,CIN,L,76
15,9.11,True,False,Weak,CIN,L,76
133,9.12,True,False,Weak,COL,W,66
134,9.13,True,False,Weak,COL,W,66
135,9.14,True,False,Weak,COL,W,66
73,9.16,True,False,Average,MIL,L,82
74,9.17,True,False,Average,MIL,W,82
75,9.18,True,False,Average,MIL,W-wo,82
16,9.19,True,False,Weak,CIN,W,76
17,9.2,True,False,Weak,CIN,W,76
18,9.21,True,False,Weak,CIN,L,76
54,9.22,True,False,Weak,CHC,W,73
55,9.23,True,False,Weak,CHC,L-wo,73
56,9.24,True,False,Weak,CHC,L,73
99,9.26,True,False,Weak,ARI,W,64
100,9.27,True,False,Weak,ARI,L,64
101,9.28,True,False,Weak,ARI,W,64
