"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"1","AL",2000,"martipe02",651,11.71,64060000,81.97,1388199645.21954
"2","AL",2009,"greinza01",688,10.4,74977000,72.8,1199957844.56271
"3","NL",1985,"goodedw01",830,12.18,38525000,85.26,1121563592.64063
"4","AL",1997,"clemero02",792,11.93,57046000,83.51,895051555.921878
"5","NL",1980,"carltst01",912,10.22,36370000,71.54,721491459.654137
"6","AL",1913,"johnswa01",1039,15.07,8664000,105.49,633635794.039334
"7","NL",2002,"johnsra05",780,10.74,66486000,75.18,591757902.487601
"8","AL",1989,"saberbr01",787,9.65,40249000,67.55,561469931.633515
"9","AL",1945,"newhoha01",940,11.25,11860000,78.75,387527525.214119
"10","NL",1968,"gibsobo01",914,11.23,24796000,78.61,386628354.740161
"11","AL",1931,"grovele01",866,10.39,10041000,72.73,366873773.039523
"12","AL",2012,"verlaju01",715,8.08,80552000,56.56,358497512.645623
"13","NL",1889,"clarkjo01",1860,16.69,4949000,116.83,309894302.619762
"14","NL",1994,"maddugr01",606,8.49,50032000,59.43,287396637.084202
"15","AL",1976,"fidryma01",751,9.57,32262000,66.99,272866079.741753
"16","NL",1892,"youngcy01",1359,13.92,5124000,97.44,272003740.041152
"17","AL",1921,"faberre01",992,11.29,9029000,79.03,245384006.919381
"18","NL",1965,"maricju01",886,10.3,22840000,72.1,228060512.208176
"19","NL",1920,"alexape01",1090,11.87,8930000,83.09,216153395.350093
"20","NL",1928,"vanceda01",844,10.12,9722000,70.84,200435768.123634
"21","AL",2017,"klubeco01",611,8.14,91457000,56.98,198524733.735337
"22","NL",2010,"hallaro01",752,8.55,76190000,59.85,187889863.930923
"23","NL",2018,"nolaaa01",637,10.46,93638000,73.22,174808238.631021
"24","AL",1940,"fellebo01",961,9.92,11130000,69.44,171293099.625181
"25","NL",1938,"leebi02",876,7.99,10888000,55.93,164693293.254638
"26","AL",1971,"woodwi01",1002,11.74,27127000,82.18,160699935.653899
"27","NL",1923,"luquedo01",966,10.55,9227000,73.85,148685531.975315
"28","AL",1964,"chancde01",835,9.38,22188000,65.66,133667622.611445
"29","NL",2013,"kershcl01",708,7.99,82733000,55.93,125779232.334578
"30","NL",1942,"coopemo01",836,8.24,11422000,57.68,120406331.008917
"31","NL",1894,"rusieam01",1332,13.74,5238000,96.18,112910157.720283
"32","AL",1917,"cicoted01",1040,11.41,8816000,79.87,108725365.472218
"33","NL",1897,"nichoki01",1104,10.69,5409000,74.83,102746346.151999
"34","NL",1967,"bunniji01",907,7.82,24144000,54.74,102573024.798211
"35","NL",2008,"linceti01",681,7.83,73764000,54.81,99432686.8863696
"36","NL",1954,"roberro01",1010,9.04,15386000,63.28,90818135.3618453
"37","NL",1966,"koufasa01",969,10.28,23492000,71.96,90782631.8922653
"38","AL",1944,"troutdi01",1057,9.25,11714000,64.75,71793918.5860266
"39","AL",2006,"santajo01",701,7.59,71338000,53.13,71258986.6849381
"40","NL",1880,"mccorji01",1973,10.47,4400000,73.29,63976455.7061204
"41","AL",1996,"hentgpa01",797,8.55,54708000,59.85,63181974.8193555
"42","NL",1973,"seaveto01",870,10.61,29181000,74.27,62505670.071289
"43","NL",1908,"mathech01",1173,11.74,7956000,82.18,57040859.1893389
"44","NL",1903,"mcginjo01",1302,11.65,6471000,81.55,55698959.8223675
"45","AL",1984,"stiebda01",801,7.93,38094000,55.51,54897311.871394
"46","NL",1991,"glavito02",740,8.52,43018000,59.64,47334165.0642735
"47","NL",1888,"buffich01",1201,12.1,4888000,84.7,45661263.2767055
"48","AL",1949,"parneme01",886,7.98,12444000,55.86,40716154.2795056
"49","NL",1883,"radboch01",1897,13.09,4583000,91.63,39752877.0141837
"50","NL",1998,"brownke01",771,8.57,59384000,59.99,37913079.9456359
"51","AL",1986,"higuete01",745,9.38,38956000,65.66,37422211.4766805
"52","AL",1955,"piercbi02",617,6.96,16085000,48.72,34744975.9170707
