"","lgID","yearID","playerID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"1","AL",2000,"martipe02",651,11.71,64060000,81.97,764780288.091524
"2","AL",2009,"greinza01",688,10.4,74977000,72.8,661425211.142773
"3","NL",1985,"goodedw01",830,12.18,38525000,85.26,617692932.053001
"4","AL",1997,"clemero02",792,11.93,57046000,83.51,493422299.053279
"5","NL",1980,"carltst01",912,10.22,36370000,71.54,397596486.231407
"6","AL",1913,"johnswa01",1039,15.07,8664000,105.49,348763268.940145
"7","NL",2002,"johnsra05",780,10.74,66486000,75.18,326807013.763197
"8","AL",1989,"saberbr01",787,9.65,40249000,67.55,309659008.978745
"9","AL",1945,"newhoha01",940,11.25,11860000,78.75,213440517.264092
"10","NL",1968,"gibsobo01",914,11.23,24796000,78.61,213204804.755281
"11","AL",1931,"grovele01",866,10.39,10041000,72.73,202042857.184408
"12","AL",2012,"verlaju01",715,8.08,80552000,56.56,198864249.528041
"13","NL",1889,"clarkjo01",1860,16.69,4949000,116.83,170594405.52182
"14","NL",1994,"maddugr01",606,8.49,50032000,59.43,159165066.298548
"15","AL",1976,"fidryma01",751,9.57,32262000,66.99,150803367.578696
"16","NL",1892,"youngcy01",1359,13.92,5124000,97.44,149754509.805915
"17","AL",1921,"faberre01",992,11.29,9029000,79.03,135195359.149035
"18","NL",1965,"maricju01",886,10.3,22840000,72.1,125967707.140268
"19","NL",1920,"alexape01",1090,11.87,8930000,83.09,119115580.916676
"20","AL",2017,"klubeco01",611,8.14,91457000,56.98,111256431.896843
"21","NL",1928,"vanceda01",844,10.12,9722000,70.84,110488304.505149
"22","NL",2010,"hallaro01",752,8.55,76190000,59.85,105080811.522111
"23","NL",2018,"nolaaa01",637,10.46,93638000,73.22,98401309.5515388
"24","AL",1940,"fellebo01",961,9.92,11130000,69.44,94492670.1462664
"25","NL",1938,"leebi02",876,7.99,10888000,55.93,90857730.8697153
"26","AL",1971,"woodwi01",1002,11.74,27127000,82.18,89035746.4622379
"27","NL",1923,"luquedo01",966,10.55,9227000,73.85,82016251.1875205
"28","AL",1964,"chancde01",835,9.38,22188000,65.66,74065046.918696
"29","NL",2013,"kershcl01",708,7.99,82733000,55.93,71178183.9779386
"30","NL",1942,"coopemo01",836,8.24,11422000,57.68,66518347.5741308
"31","NL",1894,"rusieam01",1332,13.74,5238000,96.18,62246276.4749296
"32","AL",1917,"cicoted01",1040,11.41,8816000,79.87,60032514.2698363
"33","NL",1967,"bunniji01",907,7.82,24144000,54.74,57028950.9231907
"34","NL",1897,"nichoki01",1104,10.69,5409000,74.83,56660578.6483211
"35","NL",2008,"linceti01",681,7.83,73764000,54.81,56605822.0238589
"36","NL",1966,"koufasa01",969,10.28,23492000,71.96,50677412.7836378
"37","NL",1954,"roberro01",1010,9.04,15386000,63.28,50545432.8985927
"38","AL",2006,"santajo01",701,7.59,71338000,53.13,41120745.4174915
"39","AL",1944,"troutdi01",1057,9.25,11714000,64.75,39957377.8433705
"40","AL",1996,"hentgpa01",797,8.55,54708000,59.85,36219690.991636
"41","NL",1973,"seaveto01",870,10.61,29181000,74.27,35346757.2944127
"42","NL",1880,"mccorji01",1973,10.47,4400000,73.29,35313244.0085443
"43","NL",1908,"mathech01",1173,11.74,7956000,82.18,31597654.6707566
"44","AL",1984,"stiebda01",801,7.93,38094000,55.51,31306034.8462673
"45","NL",1903,"mcginjo01",1302,11.65,6471000,81.55,30819674.4254965
"46","NL",1991,"glavito02",740,8.52,43018000,59.64,27287589.9729322
"47","NL",1888,"buffich01",1201,12.1,4888000,84.7,25634593.0625787
"48","NL",1883,"radboch01",1897,13.09,4583000,91.63,22889144.7042575
"49","AL",1949,"parneme01",886,7.98,12444000,55.86,22756865.1936599
"50","NL",1998,"brownke01",771,8.57,59384000,59.99,22689584.3439601
"51","AL",1986,"higuete01",745,9.38,38956000,65.66,21920070.499077
"52","AL",1955,"piercbi02",617,6.96,16085000,48.72,19587703.3511898
"53","NL",1977,"reuscri01",756,9.46,33289000,66.22,18098652.5948394
"54","NL",1983,"dennyjo01",728,7.42,37663000,51.94,16849092.4819758
"55","NL",1974,"matlajo01",796,9.05,30208000,63.35,16644877.7086646
"56","NL",1884,"galvipu01",1909,20.48,4644000,143.36,15059827.9437196
"57","NL",1899,"willivi01",1028,10.34,5523000,72.38,14345789.2851562
"58","NL",1978,"niekrph01",1003,9.98,34316000,69.86,12374836.4147129
"59","AL",1956,"wynnea01",833,7.83,16784000,54.81,10901312.5071023
"60","AL",1943,"chandsp01",759,6.42,11568000,44.94,10700452.1473408
"61","NL",2007,"oswalro01",636,6.66,72551000,46.62,9089126.76023219
"62","AL",1927,"thomato02",923,8.32,9623000,58.24,7698701.11985561
"63","AL",1958,"laryfr01",781,6.67,18182000,46.69,7657477.67243679
"64","AL",1952,"shantbo01",839,8.83,13988000,61.81,7173038.59555181
"65","AL",1926,"uhlege01",955,8.85,9524000,61.95,6871990.45641302
"66","AL",2019,"minormi01",625,7.78,95819000,54.46,6534995.35950523
"67","AL",1975,"palmeji01",969,8.44,31235000,59.08,6168526.17935653
"68","NL",1933,"hubbeca01",926,8.9,10283000,62.3,5847647.42269437
"69","NL",2018,"degroja01",651,9.58,93638000,67.06,5231069.69394082
"70","NL",2015,"arrieja01",687,8.29,87095000,58.03,5011208.48788365
"71","NL",2017,"scherma01",602,7.18,91457000,50.26,4912333.98819486
"72","NL",1934,"deandi01",935,8.92,10404000,62.44,4891408.60469868
"73","AL",1941,"leeth01",901,8.6,11276000,60.2,4740305.14005512
"74","AL",1993,"appieke01",716,9.27,47694000,64.89,4586528.67439197
"75","AL",2013,"iwakuhi01",659,7.22,82733000,50.54,4411383.15663756
"76","AL",2007,"beckejo02",602,6.5,72551000,45.5,3999663.28718662
"77","NL",2001,"schilcu01",770,8.78,65273000,61.46,3958232.44423146
"78","NL",2010,"jimenub01",665,7.53,76190000,52.71,3887073.38256898
"79","NL",1993,"rijojo01",772,9.2,47694000,64.4,3854138.62271618
"80","AL",2012,"priceda01",633,6.63,80552000,46.41,3795179.22246152
"81","AL",1988,"gubicma01",809,7.74,39818000,54.18,3679408.78157497
"82","AL",2019,"lynnla01",625,7.61,95819000,53.27,3630239.1154656
"83","NL",2006,"webbbr01",705,7,71338000,49,3622407.61619263
"84","AL",1981,"blylebe01",478,5.58,36801000,39.06,3437070.95290261
"85","NL",2011,"leecl02",698,8.48,78371000,59.36,3401334.32728077
"86","AL",1959,"pascuca02",716,7.81,18881000,54.67,3371268.44990224
"87","NL",2005,"willido03",709,7.29,70125000,51.03,3369982.66988879
