"","playerID","yearID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"1","martipe02",2000,651,11.71,14093200,81.97,376345233.148909
"2","goodedw01",1985,830,12.18,10787000,85.26,374322369.533045
"3","greinza01",2009,688,10.4,15145354,72.8,302234336.792378
"4","carltst01",1980,912,10.22,11274700,71.54,262880446.995509
"5","clemero02",1997,792,11.93,13063534,83.51,251184777.118412
"6","saberbr01",1989,787,9.65,10263495,67.55,172876203.585889
"7","johnsra05",2002,780,10.74,14360976,75.18,157909965.68443
"8","gibsobo01",1968,914,11.23,8281864,78.61,150223880.943548
"9","johnswa01",1913,1039,15.07,1429560,105.49,134062083.026393
"10","grovele01",1931,866,10.39,2329512,72.73,104123032.877687
"11","newhoha01",1945,940,11.25,2541428.57142857,78.75,102706936.289519
"12","fidryma01",1976,751,9.57,9549552,66.99,95537818.4432711
"13","maricju01",1965,886,10.3,7765600,72.1,89983332.7420745
"14","verlaju01",2012,715,8.08,15788192,56.56,87978085.2696558
"15","maddugr01",1994,606,8.49,11907616,59.43,83379467.2508659
"16","faberre01",1921,992,11.29,1832887,79.03,62071590.1287791
"17","woodwi01",1971,1002,11.74,7893957,82.18,55445442.0696334
"18","vanceda01",1928,844,10.12,2177728,70.84,55191468.7366576
"19","alexape01",1920,1090,11.87,1786000,83.09,53980440.0243401
"20","clarkjo01",1889,1860,16.69,638421,116.83,53028870.0642242
"21","fellebo01",1940,961,9.92,2782500,69.44,51849559.8424092
"22","leebi02",1938,876,7.99,2678448,55.93,49163464.7421552
"23","youngcy01",1892,1359,13.92,676368,97.44,47477989.6680969
"24","hallaro01",2010,752,8.55,15238000,59.85,46919713.2791003
"25","klubeco01",2017,611,8.14,17011002,56.98,46569081.3965594
"26","chancde01",1964,835,9.38,5902008,65.66,42682403.8813986
"27","nolaaa01",2018,637,10.46,17229392,73.22,40625456.9197
"28","bunniji01",1967,907,7.82,8112384,54.74,40060333.8912143
"29","luquedo01",1923,966,10.55,1928443,73.85,38567275.0504537
"30","koufasa01",1966,969,10.28,7940296,71.96,35637400.643848
"31","coopemo01",1942,836,8.24,2692328.57142857,57.68,34643797.5121075
"32","roberro01",1954,1010,9.04,4872233.33333333,63.28,33703041.2529456
"33","kershcl01",2013,708,7.99,16050202,55.93,30595497.2544552
"34","cicoted01",1917,1040,11.41,1630960,79.87,25387217.7038212
"35","linceti01",2008,681,7.83,15047856,54.81,25257799.1731164
"36","seaveto01",1973,870,10.61,9454644,74.27,23658333.9267603
"37","rusieam01",1894,1332,13.74,701892,96.18,19965921.3164868
"38","troutdi01",1944,1057,9.25,2593814.28571429,64.75,19573071.0772207
"39","nichoki01",1897,1104,10.69,741033,74.83,18518366.8027021
"40","santajo01",2006,701,7.59,14838304,53.13,18406692.2433473
"41","stiebda01",1984,801,7.93,10666320,55.51,18322007.2491507
"42","hentgpa01",1996,797,8.55,12692256,59.85,17931315.6511532
