"","playerID","yearID","IPouts","WAR","pops","scale_WAR","WAR_talent"
"1","martipe02",2000,651,11.71,14093200,81.97,207334743.346781
"2","goodedw01",1985,830,12.18,10787000,85.26,206155358.129242
"3","greinza01",2009,688,10.4,15145354,72.8,166593681.510086
"4","carltst01",1980,912,10.22,11274700,71.54,144867166.501876
"5","clemero02",1997,792,11.93,13063534,83.51,138472886.707691
"6","saberbr01",1989,787,9.65,10263495,67.55,95343832.83667
"7","johnsra05",2002,780,10.74,14360976,75.18,87208111.7492326
"8","gibsobo01",1968,914,11.23,8281864,78.61,82840392.7592363
"9","johnswa01",1913,1039,15.07,1429560,105.49,73789881.0773344
"10","grovele01",1931,866,10.39,2329512,72.73,57342093.4985286
"11","newhoha01",1945,940,11.25,2541428.57142857,78.75,56568413.2373399
"12","fidryma01",1976,751,9.57,9549552,66.99,52800363.0804883
"13","maricju01",1965,886,10.3,7765600,72.1,49701697.5190702
"14","verlaju01",2012,715,8.08,15788192,56.56,48802846.2373136
"15","maddugr01",1994,606,8.49,11907616,59.43,46176953.4363921
"16","faberre01",1921,992,11.29,1832887,79.03,34198611.4726346
"17","woodwi01",1971,1002,11.74,7893957,82.18,30719528.310153
"18","vanceda01",1928,844,10.12,2177728,70.84,30423769.5565157
"19","alexape01",1920,1090,11.87,1786000,83.09,29746983.9962071
"20","clarkjo01",1889,1860,16.69,638421,116.83,29191968.4473155
"21","fellebo01",1940,961,9.92,2782500,69.44,28602458.2310687
"22","leebi02",1938,876,7.99,2678448,55.93,27122423.2326304
"23","hallaro01",2010,752,8.55,15238000,59.85,26240703.1637294
"24","youngcy01",1892,1359,13.92,676368,97.44,26139495.0488026
"25","klubeco01",2017,611,8.14,17011002,56.98,26098061.5246336
"26","chancde01",1964,835,9.38,5902008,65.66,23650260.9879379
"27","nolaaa01",2018,637,10.46,17229392,73.22,22868474.3335957
"28","bunniji01",1967,907,7.82,8112384,54.74,22272898.4932004
"29","luquedo01",1923,966,10.55,1928443,73.85,21274047.8400079
"30","koufasa01",1966,969,10.28,7940296,71.96,19893796.9297955
"31","coopemo01",1942,836,8.24,2692328.57142857,57.68,19138931.3591116
"32","roberro01",1954,1010,9.04,4872233.33333333,63.28,18757649.1778176
"33","kershcl01",2013,708,7.99,16050202,55.93,17313924.0575113
"34","linceti01",2008,681,7.83,15047856,54.81,14378959.6372183
"35","cicoted01",1917,1040,11.41,1630960,79.87,14017506.2528844
"36","seaveto01",1973,870,10.61,9454644,74.27,13378713.1882468
"37","rusieam01",1894,1332,13.74,701892,96.18,11007018.9040975
"38","troutdi01",1944,1057,9.25,2593814.28571429,64.75,10893521.469167
"39","santajo01",2006,701,7.59,14838304,53.13,10621774.5913574
"40","stiebda01",1984,801,7.93,10666320,55.51,10448405.6783502
"41","hentgpa01",1996,797,8.55,12692256,59.85,10279303.8745528
"42","nichoki01",1897,1104,10.69,741033,74.83,10212153.1944272
"43","glavito02",1991,740,8.52,10625446,59.64,8174112.33264943
"44","higuete01",1986,745,9.38,10518120,65.66,7090044.75853623
"45","reuscri01",1977,756,9.46,10519324,66.22,6704261.46940977
"46","brownke01",1998,771,8.57,13420784,59.99,6295574.53820269
"47","matlajo01",1974,796,9.05,9726976,63.35,6266533.36768993
"48","mathech01",1908,1173,11.74,1177488,82.18,6087079.97091361
"49","parneme01",1949,886,7.98,2627066.66666667,55.86,5954130.57511102
"50","dennyjo01",1983,728,7.42,10997596,51.94,5830542.80367491
"51","piercbi02",1955,617,6.96,3931888.88888889,48.72,5815286.66441496
"52","mcginjo01",1903,1302,11.65,925353,81.55,5763920.69184618
"53","mccorji01",1880,1973,10.47,528000,73.29,5677384.4365057
"54","niekrph01",1978,1003,9.98,10775224,69.86,4558971.24265517
"55","buffich01",1888,1201,12.1,625664,84.7,4357231.46552864
"56","radboch01",1883,1897,13.09,563709,91.63,3759163.53088088
"57","wynnea01",1956,833,7.83,4196000,54.81,3299722.00252835
"58","chandsp01",1943,759,6.42,2644114.28571429,44.94,2998186.55090014
"59","willivi01",1899,1028,10.34,767697,72.38,2618142.21563841
"60","galvipu01",1884,1909,20.48,575856,143.36,2490698.46251194
"61","oswalro01",2007,636,6.66,14945506,46.62,2328313.71890824
"62","laryfr01",1958,781,6.67,4545500,46.69,2317841.03126377
"63","palmeji01",1975,969,8.44,9214325,59.08,2153480.91960497
"64","thomato02",1927,923,8.32,2126683,58.24,2095399.22591022
"65","shantbo01",1952,839,8.83,3186155.55555556,61.81,2003802.77158886
"66","uhlege01",1926,955,8.85,2076232,61.95,1848477.66789357
"67","hubbeca01",1933,926,8.9,2426788,62.3,1684262.01467955
"68","minormi01",2019,625,7.78,17439058,54.46,1504493.37109842
"69","deandi01",1934,935,8.92,2476152,62.44,1419134.53364479
"70","leeth01",1941,901,8.6,2738457.14285714,60.2,1399458.35358304
"71","appieke01",1993,716,9.27,11494254,64.89,1345094.13617402
"72","degroja01",2018,651,9.58,17229392,67.06,1215701.11214991
"73","blylebe01",1981,478,5.58,10856295,39.06,1199906.00516406
"74","arrieja01",2015,687,8.29,16548050,58.03,1197268.79159491
"75","rogerst01",1982,831,7.63,11095136,53.41,1184139.97341686
"76","scherma01",2017,602,7.18,17011002,50.26,1152314.43002589
"77","gubicma01",1988,809,7.74,10352680,54.18,1152010.3316246
"78","rijojo01",1993,772,9.2,11494254,64.4,1130305.62147429
"79","iwakuhi01",2013,659,7.22,16050202,50.54,1073058.44373065
"80","schilcu01",2001,770,8.78,14229514,61.46,1064675.12076577
"81","cardwdo01",1961,778,6.08,7040736,42.56,1036842.55622323
"82","beckejo02",2007,602,6.5,14945506,45.5,1024572.67400282
"83","pascuca02",1959,716,7.81,4720250,54.67,1020447.00095999
"84","violafr01",1988,766,7.7,10352680,53.9,1013403.76643162
"85","jimenub01",2010,665,7.53,15238000,52.71,970677.050378754
"86","webbbr01",2006,705,7,14838304,49,935693.128296161
"87","priceda01",2012,633,6.63,15788192,46.41,931366.624011541
"88","aguirha01",1962,648,7.4,5388072,51.8,926748.184195412
"89","guidrro01",1978,821,9.58,10226168,67.06,926532.968022206
"90","brogler01",1960,679,7.09,6853000,49.63,912276.536264015
"91","willido03",2005,709,7.29,14726250,51.03,877699.710805309
"92","leecl02",2011,698,8.48,15517458,59.36,842051.948801833
"93","lynnla01",2019,625,7.61,17439058,53.27,835757.396552434
"94","coneda01",1994,515,6.87,11907616,48.09,816545.187316474
"95","brechha01",1948,700,8.74,2664566.66666667,61.18,803171.450864888
"96","arroybr01",2006,722,6.81,14838304,47.67,770889.423032011
"97","ellswdi01",1963,872,10.24,7408384,71.68,741304.23306955
"98","perryga01",1974,967,8.52,8881152,59.64,712655.372566406
"99","gonzagi01",2017,603,6.49,17011002,45.43,697506.55929444
"100","burnsbr01",1980,714,6.97,10911000,48.79,696322.706990889
"101","tudorjo01",1985,825,8.1,10787000,56.7,692548.379364368
"102","koosmje01",1979,791,7.2,10567557,50.4,692534.040708231
"103","drysddo01",1960,807,7,6853000,49,677491.055795105
"104","cuetojo01",2014,731,6.78,16303488,47.46,665746.916211378
"105","finlech01",1990,708,7.69,10170000,53.83,663937.782012415
"106","gossari01",1975,425,8.2,9214325,57.4,661035.736119252
"107","hernafe02",2010,749,7.15,15238000,50.05,657307.075346549
"108","hershor01",1989,770,6.98,10303744,48.86,655532.592154299
"109","dempsry01",2008,620,6.88,15047856,48.16,648118.228737941
"110","sullifr01",1957,722,6.35,4370750,44.45,639836.214435874
"111","freelky01",2018,607,8.44,17229392,59.08,631924.993674928
"112","purkebo01",1962,865,7.25,7225864,50.75,621430.280113205
"113","sotoma01",1982,773,7.53,11095136,52.71,620748.524452026
"114","mcdowsa01",1970,915,8.29,7569000,58.03,611202.914029836
"115","mussimi01",2001,686,7.12,14229514,49.84,610298.629238602
"116","hudliwi01",1929,841,7.51,2229367,52.57,607291.962400255
"117","eckerde01",1979,740,7.15,10567557,50.05,606014.74698553
"118","rogerke01",1998,716,7.52,13420784,52.64,592090.437834936
"119","pettian01",1997,721,8.36,13063534,58.52,590731.071673179
"120","hudsoti01",2003,720,7.45,14487586,52.15,588788.690656045
"121","langsma01",1993,769,8.52,11494254,59.64,585695.296537321
"122","bluevi01",1976,895,7.61,9549552,53.27,585143.694124848
"123","walshed01",1911,1106,9.16,1331140,64.12,583312.488481258
"124","hamelco01",2014,614,6.64,16303488,46.48,581805.74373316
"125","johnsjo09",2010,551,7,15238000,49,578858.090453041
"126","scottmi03",1986,826,8.37,10673944,58.59,560264.681929969
"127","hamptmi01",1999,717,6.68,13764006,46.76,559719.603682283
"128","priorma01",2003,634,7.41,14487586,51.87,554477.735300222
"129","dierkla01",1969,916,8.64,8448736,60.48,543821.376286574
"130","blackew01",1950,783,7.5,3147500,52.5,538095.435318909
"131","tananfr01",1976,865,7.5,9549552,52.5,537134.117862171
"132","salech01",2013,643,6.53,16050202,45.71,533362.370869978
"133","jenkife01",1971,975,10.1,8897656,70.7,525580.818209826
"134","strasst01",2017,526,6.35,17011002,44.45,525344.196260978
"135","lowede01",2002,659,7.24,14360976,50.68,523768.675648032
