"","name","rookie_year","WAR_total"
"aasedo01_proj","aasedo01_proj",1977,6.81041758981814
"abbotgl01_proj","abbotgl01_proj",1973,-2.5212744294392
"abbotji01_proj","abbotji01_proj",1989,16.0350209193904
"adamsba01_proj","adamsba01_proj",1906,14.7541696170003
"aguilri01_proj","aguilri01_proj",1985,11.5749419214984
"aguirha01_proj","aguirha01_proj",1956,8.97139027595175
"aldrivi01_proj","aldrivi01_proj",1922,3.51852661660801
"alexado01_proj","alexado01_proj",1971,19.1113202019376
"alexape01_proj","alexape01_proj",1913,37.750809157281
"allenjo02_proj","allenjo02_proj",1932,8.28502751507659
"altroni01_proj","altroni01_proj",1898,-17.1621915983863
"alvarwi01_proj","alvarwi01_proj",1991,22.5309048986683
"amesre01_proj","amesre01_proj",1903,1.08698548387874
"anderbr02_proj","anderbr02_proj",1993,11.8604715146429
"andujjo01_proj","andujjo01_proj",1976,11.2091217476304
"antonjo02_proj","antonjo02_proj",1948,26.8745113852549
"appieke01_proj","appieke01_proj",1989,55.7749713314193
"applepe01_proj","applepe01_proj",1927,-16.015203648602
"archech01_proj","archech01_proj",2012,19.0109493965876
"arrieja01_proj","arrieja01_proj",2010,32.2991985943768
"arroybr01_proj","arroybr01_proj",2000,34.6416800655673
"ashbyan01_proj","ashbyan01_proj",1991,21.8949131970532
"astacpe01_proj","astacpe01_proj",1992,27.750112772291
"aukerel01_proj","aukerel01_proj",1933,0.535312301453479
"averyst01_proj","averyst01_proj",1990,11.5144942929991
"bagbyji02_proj","bagbyji02_proj",1938,-6.74637148883059
"bahnsst01_proj","bahnsst01_proj",1966,9.74003977256613
"baileho02_proj","baileho02_proj",2007,8.23686906984697
"bakersc02_proj","bakersc02_proj",2005,20.3099156569948
"baldwja01_proj","baldwja01_proj",1995,8.39740910814243
"baldwma01_proj","baldwma01_proj",1887,1.3516056676859
"bannifl01_proj","bannifl01_proj",1977,19.1990926963228
"barbest01_proj","barbest01_proj",1960,3.19204741519707
"barkele01_proj","barkele01_proj",1976,5.98101196195138
"barrji01_proj","barrji01_proj",1971,21.0873242767606
"batismi01_proj","batismi01_proj",1992,16.1789824376767
"beattji01_proj","beattji01_proj",1978,13.2930844373496
"beckejo02_proj","beckejo02_proj",2001,44.5062876363177
"bedarer01_proj","bedarer01_proj",2002,19.9168864748739
"bedrost01_proj","bedrost01_proj",1981,7.59918214278791
"belchti01_proj","belchti01_proj",1987,22.4014389270772
"bellga01_proj","bellga01_proj",1958,1.74228769071868
"bendech01_proj","bendech01_proj",1903,15.1145205040169
"benesan01_proj","benesan01_proj",1989,31.0670331853267
"bengera01_proj","bengera01_proj",1925,-1.96752672479427
"benoijo01_proj","benoijo01_proj",2001,24.9587355016373
"bensokr01_proj","bensokr01_proj",1999,16.8405873032397
"bentoal01_proj","bentoal01_proj",1934,9.8684371628554
"bentola01_proj","bentola01_proj",1924,6.95188210466894
"bentoru01_proj","bentoru01_proj",1910,0.147455657254864
"berenju01_proj","berenju01_proj",1978,1.68092979996075
"bernhbi01_proj","bernhbi01_proj",1899,-7.88371744001666
"bibbyji01_proj","bibbyji01_proj",1972,6.55164377146854
"bielemi01_proj","bielemi01_proj",1984,0.400580794736297
"billich01_proj","billich01_proj",2006,22.5857272498794
"billija01_proj","billija01_proj",1969,-0.0869298450603289
"birddo01_proj","birddo01_proj",1973,-2.40143663239167
"blackbu02_proj","blackbu02_proj",1981,11.1953845260488
"blackew01_proj","blackew01_proj",1942,12.2946835408683
"blaehge01_proj","blaehge01_proj",1925,3.79406172928168
"blairwi01_proj","blairwi01_proj",1990,-0.411845155930453
"blakesh01_proj","blakesh01_proj",1920,-2.66491006283631
"blantcy01_proj","blantcy01_proj",1934,1.04275016227215
"blantjo01_proj","blantjo01_proj",2004,18.0985955622558
"blassst01_proj","blassst01_proj",1964,-3.8907767245902
"bluevi01_proj","bluevi01_proj",1969,32.2750645166359
"blylebe01_proj","blylebe01_proj",1970,70.1068164582555
"boddimi01_proj","boddimi01_proj",1980,26.3340673477621
"bohanbr01_proj","bohanbr01_proj",1990,2.6105719519191
"bolinbo01_proj","bolinbo01_proj",1961,4.02361236013405
"bondeje01_proj","bondeje01_proj",2003,8.68402482756714
"bonesri01_proj","bonesri01_proj",1991,5.9029409719682
"bonhabi01_proj","bonhabi01_proj",1971,10.6674223905702
"bonhati01_proj","bonhati01_proj",1940,12.2144733627261
"borowha01_proj","borowha01_proj",1942,6.27560023841135
"bosioch01_proj","bosioch01_proj",1986,22.7646653527739
"bosmadi01_proj","bosmadi01_proj",1966,1.35646137461521
"bosweda01_proj","bosweda01_proj",1964,5.200079582863
"boutoji01_proj","boutoji01_proj",1962,0.266084604226829
"bowmajo01_proj","bowmajo01_proj",1932,-17.198491101614
"boydoi01_proj","boydoi01_proj",1982,8.42936768540988
"boylehe01_proj","boylehe01_proj",1885,10.1617294821402
"bradlto01_proj","bradlto01_proj",1969,-0.811949186707738
"brancra01_proj","brancra01_proj",1944,-3.71038656337742
"branded01_proj","branded01_proj",1929,5.04301885548286
"brazlal01_proj","brazlal01_proj",1947,7.84210294375923
"brechha01_proj","brechha01_proj",1940,20.2221140967596
"breitte01_proj","breitte01_proj",1892,19.2815014994416
"brettke01_proj","brettke01_proj",1967,-2.49690353854443
"breweto01_proj","breweto01_proj",1954,7.49969956167962
"bridgto01_proj","bridgto01_proj",1930,23.0834714210784
