"","name","rookie_year","WAR_total"
"aaronha01_proj","aaronha01_proj",1954,107.469075057358
"abbated01_proj","abbated01_proj",1897,-16.6311237747576
"abreubo01_proj","abreubo01_proj",1996,60.1944207712298
"abreujo02_proj","abreujo02_proj",2014,26.1292641444627
"adairje01_proj","adairje01_proj",1958,-14.40247877269
"adamsbo03_proj","adamsbo03_proj",1946,-11.8500569240713
"adamssp01_proj","adamssp01_proj",1922,-15.9977457071031
"adcocjo01_proj","adcocjo01_proj",1950,8.46071459732159
"ageeto01_proj","ageeto01_proj",1962,1.87487824437575
"ainsmed01_proj","ainsmed01_proj",1910,-32.0520953469424
"alfoned01_proj","alfoned01_proj",1995,29.7185229386062
"alicelu01_proj","alicelu01_proj",1988,5.329997700046
"allenbe01_proj","allenbe01_proj",1962,-8.64641712717759
"allendi01_proj","allendi01_proj",1963,37.7562772817366
"allenet01_proj","allenet01_proj",1926,-25.8408885511864
"alleyge01_proj","alleyge01_proj",1963,8.44928652293837
"allisbo01_proj","allisbo01_proj",1958,14.6938254771369
"almonbi01_proj","almonbi01_proj",1974,-13.9212590661889
"alomaro01_proj","alomaro01_proj",1988,62.4288814692528
"alomasa01_proj","alomasa01_proj",1964,-12.6456285787011
"alomasa02_proj","alomasa02_proj",1989,7.54846783615308
"alonsyo01_proj","alonsyo01_proj",2010,13.1665899905788
"aloufe01_proj","aloufe01_proj",1958,21.039959079074
"alouje01_proj","alouje01_proj",1963,-17.940897399482
"alouma01_proj","alouma01_proj",1960,-0.0151564507373255
"aloumo01_proj","aloumo01_proj",1990,37.4468150015198
"altmage01_proj","altmage01_proj",1959,-1.51780564404748
"altuvjo01_proj","altuvjo01_proj",2011,46.9862278976588
"alvisma01_proj","alvisma01_proj",1962,-3.88708331950044
"anderbr01_proj","anderbr01_proj",1988,29.9775610425326
"anderga01_proj","anderga01_proj",1994,21.9987793796573
"anderjo01_proj","anderjo01_proj",1894,-13.4253223692476
"anderma02_proj","anderma02_proj",1998,8.33126504524532
"andremi01_proj","andremi01_proj",1966,-1.50092863029666
"andruel01_proj","andruel01_proj",2009,39.2698396988903
"ansonca01_proj","ansonca01_proj",1880,45.1992919204597
"aparilu01_proj","aparilu01_proj",1956,27.5245227167609
"applilu01_proj","applilu01_proj",1930,29.0022773673656
"arenano01_proj","arenano01_proj",2013,44.3242245276949
"armasto01_proj","armasto01_proj",1976,3.70191993650879
"ashburi01_proj","ashburi01_proj",1948,38.4868251143091
"ashbyal01_proj","ashbyal01_proj",1973,-6.70976054879485
"asprobo01_proj","asprobo01_proj",1960,-19.2197399733459
"aurilri01_proj","aurilri01_proj",1995,16.2557218583959
"ausmubr01_proj","ausmubr01_proj",1993,14.7178002601858
"austiji01_proj","austiji01_proj",1909,-16.8526680887007
"averiea01_proj","averiea01_proj",1930,16.5004316786841
"avilabo01_proj","avilabo01_proj",1949,10.0914401116051
"avilemi01_proj","avilemi01_proj",2008,11.4504288411673
"aybarer01_proj","aybarer01_proj",2006,28.9705756041479
"backmwa01_proj","backmwa01_proj",1980,-0.154024808079186
"baergca01_proj","baergca01_proj",1990,14.9263436718411
"bagweje01_proj","bagweje01_proj",1991,76.5979903996788
"bailebo01_proj","bailebo01_proj",1962,2.12010863391823
"baileed01_proj","baileed01_proj",1953,7.00670532468028
"baineha01_proj","baineha01_proj",1980,17.4202481981972
"bakerdu01_proj","bakerdu01_proj",1968,7.6460244693238
"bakerfr01_proj","bakerfr01_proj",1908,32.4197147125613
"balbost01_proj","balbost01_proj",1981,-12.2085859599706
"bancrda01_proj","bancrda01_proj",1915,7.2321050733603
"bandosa01_proj","bandosa01_proj",1966,41.7132007184594
"bankser01_proj","bankser01_proj",1953,40.0041899167887
"bannial01_proj","bannial01_proj",1974,-12.1428254746721
"barajro01_proj","barajro01_proj",1999,6.28909378301248
"barfije01_proj","barfije01_proj",1981,34.3041285997117
"barmecl01_proj","barmecl01_proj",2003,18.4644546427207
"barreji01_proj","barreji01_proj",1899,-6.91037510691781
"barrema02_proj","barrema02_proj",1982,-3.03280646119102
"barremi01_proj","barremi01_proj",1998,4.71664093900499
"barryja01_proj","barryja01_proj",1908,1.69727274989287
"barrysh01_proj","barrysh01_proj",1899,-26.2039530486274
"bartedi01_proj","bartedi01_proj",1927,-5.97756770916608
"bartlja01_proj","bartlja01_proj",2004,21.327172544193
"bassech01_proj","bassech01_proj",1884,-8.90455173303321
"basske01_proj","basske01_proj",1982,3.14209904119779
"batemjo01_proj","batemjo01_proj",1963,-13.7676346223824
"batesjo02_proj","batesjo02_proj",1906,-4.31273205304678
"batisto01_proj","batisto01_proj",1996,13.7442895111154
"batteea01_proj","batteea01_proj",1955,-1.5974078548492
"bauerha01_proj","bauerha01_proj",1948,4.98631848110819
"baumhfr01_proj","baumhfr01_proj",1947,-8.57331393660766
"bautijo02_proj","bautijo02_proj",2004,41.0159625047123
"bayja01_proj","bayja01_proj",2003,29.0552377674897
"baylodo01_proj","baylodo01_proj",1970,7.75092314817504
"beaumgi01_proj","beaumgi01_proj",1899,-4.88781851391774
"beckegl01_proj","beckegl01_proj",1965,1.74273582862064
"beckhgo01_proj","beckhgo01_proj",2009,10.7951354765083
"becklja01_proj","becklja01_proj",1888,8.11220103034553
"belanma01_proj","belanma01_proj",1965,16.4804889228213
"bellbu01_proj","bellbu01_proj",1972,46.4787606160192
"bellda01_proj","bellda01_proj",1995,15.3180649355825
"bellde01_proj","bellde01_proj",1991,7.41283166190418
"belleal01_proj","belleal01_proj",1989,36.2627444293647
"bellge02_proj","bellge02_proj",1981,16.0531132212633
"bellgu01_proj","bellgu01_proj",1950,-4.12777268225784
"belliro01_proj","belliro01_proj",1998,23.7253853139789
"bellja01_proj","bellja01_proj",1986,24.5908620765039
"bellle01_proj","bellle01_proj",1923,-12.9750439716017
"beltbr01_proj","beltbr01_proj",2011,30.0903351357208
"beltrad01_proj","beltrad01_proj",1998,96.918822075476
"beltrca01_proj","beltrca01_proj",1998,71.9110751565033
"benchjo01_proj","benchjo01_proj",1967,53.7161153125562
"beniqju01_proj","beniqju01_proj",1971,-16.5867907868135
"bennech01_proj","bennech01_proj",1880,15.0209379276608
"berarjo01_proj","berarjo01_proj",1939,-26.7682261643156
"bergebi01_proj","bergebi01_proj",1901,-28.3261893296045
"bergewa01_proj","bergewa01_proj",1930,14.8160949562785
"berkmla01_proj","berkmla01_proj",1999,54.4781335682383
"bernato01_proj","bernato01_proj",1979,3.26643238511716
"berrayo01_proj","berrayo01_proj",1946,29.236696225347
"berryke01_proj","berryke01_proj",1962,-6.9987271688425
"beschbo01_proj","beschbo01_proj",1908,-4.90330284439966
"betanyu01_proj","betanyu01_proj",2005,3.78603319427767
"bettsmo01_proj","bettsmo01_proj",2014,43.383287780436
"bicheda01_proj","bicheda01_proj",1988,-2.34756874083676
"bigbeca01_proj","bigbeca01_proj",1916,-15.2597747128853
"biggicr01_proj","biggicr01_proj",1988,56.9718058340836
"biittla01_proj","biittla01_proj",1971,-22.4340235003607
"bishoma01_proj","bishoma01_proj",1924,9.76678917740847
"blackch02_proj","blackch02_proj",2011,23.903902432348
"blairpa01_proj","blairpa01_proj",1965,17.6594564104633
"blakeca01_proj","blakeca01_proj",1999,25.9499169091456
"blaloha01_proj","blaloha01_proj",2002,16.9552774466
"blasido01_proj","blasido01_proj",1955,3.32894296186034
"blausje01_proj","blausje01_proj",1987,14.646310979944
"bloodji01_proj","bloodji01_proj",1937,-18.484880088667
"bluegos01_proj","bluegos01_proj",1922,-15.5682594357829
"bluelu01_proj","bluelu01_proj",1921,4.96768198043704
"blumge01_proj","blumge01_proj",1999,5.03992050392394
"bochtbr01_proj","bochtbr01_proj",1974,9.12458212044111
"bodiepi01_proj","bodiepi01_proj",1911,-7.18374384286432
"bogaexa01_proj","bogaexa01_proj",2013,25.8753672648854
"boggswa01_proj","boggswa01_proj",1982,86.8807031069316
"bollifr01_proj","bollifr01_proj",1954,3.60046457833244
"bondsba01_proj","bondsba01_proj",1986,152.901218397136
"bondsbo01_proj","bondsbo01_proj",1968,39.7283071081443
"bonilbo01_proj","bonilbo01_proj",1986,20.8278238238719
"bonneba01_proj","bonneba01_proj",1977,-13.9477950649766
"bonurze01_proj","bonurze01_proj",1934,7.92804513663861
"booneaa01_proj","booneaa01_proj",1997,14.4250129212966
"boonebo01_proj","boonebo01_proj",1972,4.7524485095112
"boonebr01_proj","boonebr01_proj",1992,19.0293173899357
"boonera01_proj","boonera01_proj",1948,4.03561139035856
"bordepa01_proj","bordepa01_proj",1988,-10.783437309596
"bordimi01_proj","bordimi01_proj",1990,22.1528318564846
"bottoji01_proj","bottoji01_proj",1922,-5.02952107737195
"boudrlo01_proj","boudrlo01_proj",1939,36.715306010047
"bournmi01_proj","bournmi01_proj",2006,26.8851838639407
"bowala01_proj","bowala01_proj",1970,2.8816338597543
"bowerfr01_proj","bowerfr01_proj",1896,-34.9934157241654
"boyercl02_proj","boyercl02_proj",1955,3.45008908012515
"boyerke01_proj","boyerke01_proj",1955,40.9931974497467
"bradlbi01_proj","bradlbi01_proj",1899,8.16327806846336
"bradlmi01_proj","bradlmi01_proj",2000,18.1677027365926
"bradlph01_proj","bradlph01_proj",1983,14.1047877699317
"brandja01_proj","brandja01_proj",1956,-0.426365474845481
"branski01_proj","branski01_proj",1898,-20.0092415315834
"brantmi02_proj","brantmi02_proj",2009,35.2909954181902
"braunry02_proj","braunry02_proj",2007,53.5124173464628
"braunst01_proj","braunst01_proj",1971,2.71716791623026
"breamsi01_proj","breamsi01_proj",1983,0.316498062095209
"bresnro01_proj","bresnro01_proj",1897,-8.32369403759342
"bressed01_proj","bressed01_proj",1956,-1.81710302992042
"bressru01_proj","bressru01_proj",1914,-33.0266905483267
"brettge01_proj","brettge01_proj",1973,72.6332826073376
"bridwal01_proj","bridwal01_proj",1905,-5.4315750234943
"briggjo02_proj","briggjo02_proj",1964,9.76612427039074
"brinked01_proj","brinked01_proj",1961,-12.464133863445
"brockgr01_proj","brockgr01_proj",1982,2.32860676585629
"brocklo01_proj","brocklo01_proj",1961,18.9508977892744
