"","name","rookie_year","WAR_total"
"aaronha01_proj","aaronha01_proj",1954,107.33025844709
"abbated01_proj","abbated01_proj",1897,-17.1713510545785
"abreubo01_proj","abreubo01_proj",1996,60.1944207712298
"abreujo02_proj","abreujo02_proj",2014,26.1292641444627
"adairje01_proj","adairje01_proj",1958,-15.1782878437625
"adamsbo03_proj","adamsbo03_proj",1946,-12.4036087249232
"adamssp01_proj","adamssp01_proj",1922,-16.6494724278013
"adcocjo01_proj","adcocjo01_proj",1950,8.292555052501
"ageeto01_proj","ageeto01_proj",1962,1.28753340406881
"ainsmed01_proj","ainsmed01_proj",1910,-33.2593298243281
"alfoned01_proj","alfoned01_proj",1995,29.7185229386062
"alicelu01_proj","alicelu01_proj",1988,5.16928015664836
"allenbe01_proj","allenbe01_proj",1962,-8.86521723432188
"allendi01_proj","allendi01_proj",1963,37.5231645594262
"allenet01_proj","allenet01_proj",1926,-26.8431239553922
"alleyge01_proj","alleyge01_proj",1963,8.08760074650515
"allisbo01_proj","allisbo01_proj",1958,14.35635471763
"almonbi01_proj","almonbi01_proj",1974,-14.524712753804
"alomaro01_proj","alomaro01_proj",1988,62.3360168930102
"alomasa01_proj","alomasa01_proj",1964,-13.378249680663
"alomasa02_proj","alomasa02_proj",1989,7.42989849013734
"alonsyo01_proj","alonsyo01_proj",2010,13.1665899905788
"aloufe01_proj","aloufe01_proj",1958,20.8875436902989
"alouje01_proj","alouje01_proj",1963,-18.7069031457644
"alouma01_proj","alouma01_proj",1960,-0.526339537256447
"aloumo01_proj","aloumo01_proj",1990,37.4468150015198
"altmage01_proj","altmage01_proj",1959,-1.92067010879517
"altuvjo01_proj","altuvjo01_proj",2011,46.9850507136563
"alvisma01_proj","alvisma01_proj",1962,-4.19429095087115
"anderbr01_proj","anderbr01_proj",1988,29.9775610425326
"anderga01_proj","anderga01_proj",1994,21.9002536247387
"anderjo01_proj","anderjo01_proj",1894,-13.922477228959
"anderma02_proj","anderma02_proj",1998,8.33126504524532
"andremi01_proj","andremi01_proj",1966,-1.80077567707797
"andruel01_proj","andruel01_proj",2009,39.2698396988903
"ansonca01_proj","ansonca01_proj",1880,45.2274672487483
"aparilu01_proj","aparilu01_proj",1956,27.4577818083182
"applilu01_proj","applilu01_proj",1930,28.722299780019
"arenano01_proj","arenano01_proj",2013,44.3242245276949
"armasto01_proj","armasto01_proj",1976,3.24558008446861
"ashburi01_proj","ashburi01_proj",1948,38.2627660117817
"ashbyal01_proj","ashbyal01_proj",1973,-7.05871391347368
"asprobo01_proj","asprobo01_proj",1960,-19.9958291305122
"aurilri01_proj","aurilri01_proj",1995,16.2557218583959
"ausmubr01_proj","ausmubr01_proj",1993,14.7178002601858
"austiji01_proj","austiji01_proj",1909,-17.6016041497837
"averiea01_proj","averiea01_proj",1930,16.1569529462593
